1, پدې اونۍ کې زما په ټولنه کې د لوړ بوخت غړي کیدو لپاره :)
2, سلام جیمز! څومره عجیب:/ مهرباني وکړئ زموږ د تماس مرکز ته زنګ ووهئ او موږ به وکولی شو ستاسو سره مرسته وکړو :) ډیره مننه!
3, موږ تیره شپه غوږ نیولی و :) لکه څنګه چې تاسو وینه وهل یو په زړه پوری لار ده. تاسو کله په سکاټلینډ کې یاست؟!
4, مبارک شه :)
5, هو یاپی !!! زما حساب تایید شوی rqst په ورځو کې زما په fb پروفایل کې د نیلي ټیک نښه ترلاسه کولو کې بریالۍ شوې
6, دا یو د نه منلو وړ دی :)
7, موږ نه خوښوو چې زموږ ښکلي پیرودونکي د اوږدې مودې په تمه وساتو! موږ امید لرو چې تاسو خوند واخلئ! جمعه مو مبارک شه! - lwwf :)
8, په دوهم فکر کې ، د ډی ډی لپاره کافي وخت شتون نلري :) مګر نوي شارټس سیسټم ته ننوځي. پسه باید وپلورل شي.
9, jgh ، مګر موږ باید بیاان ته لاړ شو: د خدای پامانۍ
10, د شرارت عمل په توګه ، زه زموږ په کور کې د ګودام کولو ایپ کټاماري ایتل پرت غږوم.
11, پدې اونۍ کې زما په ټولنه کې د لوړ نفوذ لرونکو لپاره :)
12, څوک به دا لوی نه خوښوي .... رسیلی .... سیلفي :) -
13, تاسو تعقیب او تعقیب کړئ :)
14, کامل ، نو تاسو دمخه پوهیږئ څه شی ستاسو لپاره انتظار باسي :)
15, د عمر لرونکي او د ګاتورډ لړۍ کې د جون ټریټلیټس لپاره عالي نوی فرصت! خپلې لیکنې دننه کړئ :)
16, د نن ورځې چاپ لپاره د مبارکۍ کارت لړ ایښودل - زما دنده خوښ کړئ :-)
17, د ملګري ډوډۍ ... yummmm :)
18, دا د ID شخړه ده د مرستې لپاره مننه: d دلته د دې کار کولو سکرین شاټ دی
19, هی ژوند :))
20, سلام زه اړتیا لرم یو څه وپیژنم ایا تاسو ما په ټویټر کې ایف ایم کولی شئ ؟؟ - ډاډه خبره :) dm me x
21, پدې اونۍ کې زما په ټولنه کې د نوي نوي پیروانو کیدو لپاره :)
